metric,value,unit,verdict
unlocked_global_peak,617.866338867254,Mpc,diagnostic
derived_scalelock_global_peak,617.866338867254,Mpc,diagnostic
v0.20_global_peak,152.29376055593826,Mpc,PASS-LIKE
v0.20_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
derived_R_env_5B,505.82952980582434,Mpc,derived_not_fit
damping_power,4.0,dimensionless,derived_from_4_dark_sinks
global_fractional_error,0.035232620341028004,ratio,PASS-LIKE
BAO_window_fractional_error,0.035232620341028004,ratio,PASS-LIKE
