metric,value,unit,verdict
channel_exchange_shape_rms_log_residual,0.4685105160480104,ln_power,WEAK
channel_exchange_shape_mean_abs_log_residual,0.3619685835510334,ln_power,diagnostic
channel_exchange_shape_max_abs_log_residual,1.4236660774685248,ln_power,diagnostic
v0.23_native_shape_rms_log_residual,4.147615292094368,ln_power,prior_FAIL
improvement_vs_v0.23_rms,3.679104776046358,ln_power,improved
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
native_channel_exchange_global_peak,617.866338867254,Mpc,FAIL
native_channel_exchange_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
reference_scoring_peak,350.2112922852604,Mpc,reference
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_log_residual,-0.36702421301201404,ln_power,diagnostic
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
A_tip,0.01977858948,source_aperture,from_source_math
A_side,0.1071428571,source_aperture,from_source_math
aperture_ratio_A_side_over_A_tip,5.41711314693812,dimensionless,from_source_math
F_visible,0.15583331275328108,fraction,derived
F_dark,0.8441666872467188,fraction,derived
gamma_exchange,1.35427828673453,dimensionless,A_side_over_A_tip_div_N_dark_sinks
radiation_drag_strength,6.417113146938121,dimensionless,inverse_visible_fraction
radiation_pressure_strength,10.83422629387624,dimensionless,two_transverse_modes_times_aperture_ratio
dark_sink_resistance,5.41711314693812,dimensionless,aperture_ratio
large_scale_slope_native_0.015_0.05,0.4178438697428723,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.7291023652489442,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.0455504836272715,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169379,dlnP_dlnk,diagnostic
