metric,value,unit,verdict
first_principle_sinks_shape_rms_log_residual,0.8069467814614266,ln_power,WEAK
first_principle_sinks_shape_mean_abs_log_residual,0.6677541327539738,ln_power,diagnostic
first_principle_sinks_shape_max_abs_log_residual,2.1150860096672695,ln_power,diagnostic
v0.23_native_shape_rms_log_residual,4.147615292094368,ln_power,prior_FAIL
improvement_vs_v0.23_rms,3.3406685106329417,ln_power,improved
v0.24_four_sink_channel_exchange_rms,0.4685105160480104,ln_power,comparison_WEAK
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
native_first_principle_sinks_global_peak,617.866338867254,Mpc,FAIL
native_first_principle_sinks_BAO_window_peak,128.15249974781096,Mpc,WEAK
reference_scoring_peak,350.2112922852604,Mpc,reference
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_log_residual,-0.9375882901381871,ln_power,diagnostic
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
C_3_sector_count,8,sectors,first_principle
visible_axial_sector_count,1,sector,first_principle
anchor_opposite_axial_sector_count,1,sector,first_principle
N_dark_sinks_first_principle,6,sectors,C3_minus_visible_minus_anchor
A_tip,0.01977858948,source_aperture,from_source_math
A_side,0.10714285714285714,source_aperture,from_source_math
aperture_ratio_A_side_over_A_tip,5.417113149104965,dimensionless,from_source_math
F_visible,0.1558333127006614,fraction,derived
F_dark,0.8441666872993385,fraction,derived
gamma_exchange,0.9028521915174942,dimensionless,A_side_over_A_tip_div_N_dark_sinks
radiation_drag_strength,6.417113149104965,dimensionless,inverse_visible_fraction
radiation_pressure_strength,10.83422629820993,dimensionless,two_transverse_modes_times_aperture_ratio
dark_sink_resistance,5.417113149104965,dimensionless,aperture_ratio
large_scale_slope_native_0.015_0.05,0.6006828942393575,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.7291023652489458,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-0.6099692763732805,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169372,dlnP_dlnk,diagnostic
