metric,value,unit,verdict
spin_blur_shape_rms_log_residual,0.4685105158774012,ln_power,WEAK
spin_blur_shape_mean_abs_log_residual,0.3619685833800755,ln_power,diagnostic
spin_blur_shape_max_abs_log_residual,1.423666077224036,ln_power,diagnostic
v0.23_native_shape_rms_log_residual,4.147615292094368,ln_power,prior_FAIL
v0.24_four_sink_channel_exchange_rms,0.4685105160480104,ln_power,comparison_WEAK
v0.25_first_principle_six_sink_rms,0.8069467814614266,ln_power,comparison_WEAK
improvement_vs_v0.23_rms,3.679104776216967,ln_power,improved
improvement_vs_v0.25_rms,0.3384362655840254,ln_power,improved
delta_vs_v0.24_rms,-1.706091934394749e-10,ln_power,better_than_v024
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
native_spin_blur_global_peak,617.866338867254,Mpc,FAIL
native_spin_blur_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
reference_scoring_peak,350.2112922852604,Mpc,reference
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_log_residual,-0.3670242126747123,ln_power,diagnostic
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
internal_dark_sectors,6,sectors,first_principle
transverse_3D_sink_floor,4,effective_sinks,projection_floor
spin_blur_chi_final,4.976985298782062,dimensionless,derived_from_A_lock_times_aperture_ratio
N_eff_dark_sinks_final,4.000000000034945,effective_sinks,spin_blur_projection
N_eff_dark_sinks_track_average,4.000000000076487,effective_sinks,spin_blur_projection
gamma_exchange_eff_final,1.35427828726441,dimensionless,aperture_ratio_over_N_eff
A_tip,0.01977858948,source_aperture,from_source_math
A_side,0.10714285714285714,source_aperture,from_source_math
aperture_ratio_A_side_over_A_tip,5.417113149104965,dimensionless,from_source_math
large_scale_slope_native_0.015_0.05,0.4178438698251935,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.7291023652489483,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.0455504839922318,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169379,dlnP_dlnk,diagnostic
