metric,value,unit,verdict
mgt_spin_blur_shape_rms_log_residual,0.48221586480020284,ln_power,WEAK
mgt_spin_blur_shape_mean_abs_log_residual,0.3737123405150635,ln_power,diagnostic
mgt_spin_blur_shape_max_abs_log_residual,1.4581568419039748,ln_power,diagnostic
v0.23_native_shape_rms_log_residual,4.147615292094368,ln_power,prior_FAIL
v0.24_four_sink_channel_exchange_rms,0.4685105160480104,ln_power,comparison_WEAK
v0.25_first_principle_six_sink_rms,0.8069467814614266,ln_power,comparison_WEAK
v0.26_aperture_spin_blur_rms,0.4685105158774012,ln_power,comparison_WEAK
improvement_vs_v0.23_rms,3.6653994272941652,ln_power,improved
improvement_vs_v0.25_rms,0.3247309166612238,ln_power,improved
delta_vs_v0.26_rms,0.013705348922801619,ln_power,worse_than_v026
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
native_mgt_spin_blur_global_peak,617.866338867254,Mpc,FAIL
native_mgt_spin_blur_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
reference_scoring_peak,350.2112922852604,Mpc,reference
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_log_residual,-0.39210161929950793,ln_power,diagnostic
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
theta_mass_gravity_time_final,0.9690814901347324,fraction,derived_from_channel_load
theta_mass_gravity_time_track_average,0.9481657372671751,fraction,derived_from_channel_load
gamma_rot_final,4.976985298782062,dimensionless,A_lock_times_aperture_ratio
beta_spin_final,0.999904927514722,fraction_capped,tanh_gamma_rot
chi_MGT_final,1.8801555469777032,sector_intervals_per_response,mass_gravity_time_spin_blur
chi_MGT_track_average,1.860158576208681,sector_intervals_per_response,mass_gravity_time_spin_blur
N_eff_dark_sinks_final,4.058318395697808,effective_sinks,spin_blur_projection
N_eff_dark_sinks_track_average,4.063009222806711,effective_sinks,spin_blur_projection
gamma_exchange_eff_final,1.3348171880371944,dimensionless,aperture_ratio_over_N_eff
internal_dark_sectors,6,sectors,first_principle
transverse_3D_sink_floor,4,effective_sinks,projection_floor
aperture_ratio_A_side_over_A_tip,5.417113149104965,dimensionless,from_source_math
large_scale_slope_native_0.015_0.05,0.4309290033379345,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.7291023652489469,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.0380288571705902,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169425,dlnP_dlnk,diagnostic
