metric,value,unit,verdict
thermo_spin_growth_shape_rms_log_residual,0.3028594438300791,ln_power,PASS-LIKE
thermo_spin_growth_shape_mean_abs_log_residual,0.19857953147787555,ln_power,diagnostic
thermo_spin_growth_shape_max_abs_log_residual,1.0973955819958547,ln_power,diagnostic
v0.23_native_shape_rms_log_residual,4.147615292094368,ln_power,prior_FAIL
v0.24_four_sink_channel_exchange_rms,0.4685105160480104,ln_power,comparison_WEAK
v0.25_first_principle_six_sink_rms,0.8069467814614266,ln_power,comparison_WEAK
v0.26_aperture_spin_blur_rms,0.4685105158774012,ln_power,comparison_WEAK
v0.27_mgt_spin_blur_rms,0.48221586480020284,ln_power,comparison_WEAK
improvement_vs_v0.23_rms,3.844755848264289,ln_power,improved
delta_vs_v0.27_rms,-0.17935642097012372,ln_power,improved_vs_v027
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
native_thermo_spin_growth_global_peak,617.866338867254,Mpc,FAIL
native_thermo_spin_growth_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
reference_scoring_peak,350.2112922852604,Mpc,reference
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_log_residual,-0.10105266367647836,ln_power,diagnostic
sound_horizon_rs,147.1106663020041,Mpc,reference
anchor_radius_R_A_5B,505.82952980582434,Mpc,derived
derived_k_cut_5B,0.01242154705675556,1/Mpc,derived_not_fit
derived_A_lock_5B,0.9187523246776519,fraction,derived_not_fit
theta_mass_gravity_time_final,0.9690814901347324,fraction,derived_from_channel_load
theta_thermal_radiation_final,0.03091850986526757,fraction,derived_from_R_over_G_plus_R
T_rel_final,0.4193287491962455,dimensionless,theta_T_fourth_root
beta_thermal_final,0.6475559815153015,fraction_c,sqrt_T_rel
W_capture_thermal_final,0.9007901054650299,normalized,analytic_normalized_speed_window
c_s2_thermal_final,0.13977624973208183,fraction_c_squared,beta_T_squared_over_3
spin_blur_chi_thermo_final,3.0976615176022886,sector_intervals_per_response,MGT_times_1_plus_beta_T
N_eff_dark_sinks_final,4.000136067469351,effective_sinks,thermo_spin_blur_projection
N_eff_dark_sinks_track_average,4.000110305381196,effective_sinks,thermo_spin_blur_projection
large_scale_slope_native_0.015_0.05,0.325962324984078,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.729102365248943,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.3920180720027215,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169387,dlnP_dlnk,diagnostic
