metric,value,unit,verdict
collapse_containment_shape_rms_log_residual,0.3028594438300792,ln_power,PASS-LIKE
collapse_containment_shape_mean_abs_log_residual,0.1985795314778756,ln_power,diagnostic
collapse_containment_shape_max_abs_log_residual,1.0973955819958547,ln_power,diagnostic
v0.28_thermo_spin_growth_rms,0.3028594438300791,ln_power,comparison_PASS-LIKE
delta_vs_v0.28_rms,5.551115123125783e-17,ln_power,unchanged_scored_window
v0.28_global_peak_before_collapse,617.866338867254,Mpc,FAIL
v0.29_global_peak_after_collapse,152.29376055593826,Mpc,PASS-LIKE
v0.29_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
anchor_radius_R_A_5B,505.82952980582434,Mpc,collapse_threshold
uncontained_modes_count_lambda_gt_R_A,1.0,modes,diagnostic
mode_n_for_containment,4.0,mode,fourth_mode_failure_rule
complexity_C_n,16.0,sectors,2_power_n
X_containment,1.999904927514722,dimensionless,1_plus_beta_spin
coherence_capacity_final,23.171782544552414,MCIFT_units,3.5_n_X_A_lock_W_capture
contained_complexity_load_final,33.74172383786903,MCIFT_units,C_n_times_1_plus_theta_G_plus_c_s2
collapse_excess_final,10.569941293316617,MCIFT_units,positive_collapse
collapse_pressure_final,0.4561557261722864,dimensionless,load_over_capacity_minus_1
collapse_sink_factor_617Mpc,0.5728162908888876,power_multiplier,diagnostic
large_scale_slope_native_0.015_0.05,0.325962324984075,dlnP_dlnk,diagnostic
large_scale_slope_reference_0.015_0.05,-0.7291023652489471,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.3920180720027198,dlnP_dlnk,diagnostic
small_scale_slope_reference_0.08_0.22,-1.8136157176169407,dlnP_dlnk,diagnostic
