metric,value,unit,verdict
dynamic_ordered_collapse_shape_rms_log_residual,0.3028594438300792,ln_power,PASS-LIKE
dynamic_ordered_collapse_shape_mean_abs_log_residual,0.1985795314778756,ln_power,diagnostic
dynamic_ordered_collapse_shape_max_abs_log_residual,1.0973955819958547,ln_power,diagnostic
v0.28_thermo_spin_growth_rms,0.3028594438300791,ln_power,comparison_PASS-LIKE
v0.29_overlay_rms,0.3028594438300792,ln_power,comparison_PASS-LIKE
delta_vs_v0.28_rms,5.551115123125783e-17,ln_power,unchanged_scored_window
v0.28_global_peak_before_dynamic_order,617.866338867254,Mpc,FAIL
v0.30_global_peak_after_dynamic_order,152.29376055593826,Mpc,PASS-LIKE
v0.30_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
B_background_final_fraction,0.003141093950869819,fraction,dynamic_reservoir
A_background_final_fraction,0.8911737289536603,fraction,dynamic_background
V_background_final_fraction,0.04808922699523035,fraction,dynamic_background
D_background_final_fraction,0.04721709535782657,fraction,dynamic_background
R_background_final_fraction,0.01037885474241286,fraction,dynamic_background
mode_n_for_containment,4.0,mode,fourth_mode_failure_rule
complexity_C_n,16.0,sectors,2_power_n
coherence_capacity_final,23.171782544552414,MCIFT_units,3.5_n_X_A_lock_W_capture
contained_complexity_load_final,33.74172383786903,MCIFT_units,C_n_times_1_plus_theta_G_plus_c_s2
collapse_pressure_final,0.4561557261722864,dimensionless,load_over_capacity_minus_1
cumulative_transfer_at_617Mpc,0.5587022886073253,power_multiplier,dynamic_response_epoch_transfer
transfer_at_BAO_bin,1.0,power_multiplier,dynamic_response_epoch_transfer
