metric,value,unit,verdict
v0.34_cubic_field_shape_rms_log_residual,0.3028594438300792,ln_power,PASS-LIKE
v0.34_cubic_field_shape_mean_abs_log_residual,0.1985795314778756,ln_power,diagnostic
v0.34_cubic_field_shape_max_abs_log_residual,1.0973955819958547,ln_power,diagnostic
v0.30_dynamic_ordered_rms,0.3028594438300792,ln_power,comparison_PASS-LIKE
delta_vs_v0.30_rms,0.0,ln_power,scored_window_delta
v0.28_global_peak_before_cubic_field,617.866338867254,Mpc,FAIL
v0.34_global_peak_after_cubic_field,152.29376055593826,Mpc,PASS-LIKE
v0.34_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
raw_geometric_global_peak,152.29376055593826,Mpc,PASS-LIKE
nearest_BAO_bin_wavelength,152.29376055593826,Mpc,PASS-LIKE
v0.34_transfer_at_617Mpc,0.4495762792312962,power_multiplier,mode_coupled_B_transfer
v0.30_transfer_at_617Mpc,0.5587022886073253,power_multiplier,comparison
v0.34_transfer_at_BAO_bin,1.0,power_multiplier,mode_coupled_B_transfer
v0.34_final_B_aggregate_proxy,0.021048419921336325,fraction_proxy,diagnostic
v0.34_final_chi_617Mpc,0.6822069495490013,compatibility,diagnostic
v0.34_final_Omega_617Mpc,0.37915499445065326,vortex_strength,diagnostic
v0.34_final_m_i_617Mpc,1.882738873065792,mass_proxy,diagnostic
v0.34_final_q_i_617Mpc,36.1974230935491,complexity_proxy,diagnostic
v0.34_final_Coh_capacity_617Mpc,22.471564823153653,capacity_proxy,diagnostic
v0.34_final_S_i_617Mpc,-13.725858270395445,stability_proxy,collapse_if_negative
large_scale_slope_native_0.015_0.05,0.325962324984075,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.3920180720027198,dlnP_dlnk,diagnostic
