metric,value,unit,verdict
v0.35_spatial_lattice_shape_rms_log_residual,0.3039475711009512,ln_power,PASS-LIKE
v0.35_spatial_lattice_shape_mean_abs_log_residual,0.2021051286458516,ln_power,diagnostic
v0.35_spatial_lattice_shape_max_abs_log_residual,1.0973955819958547,ln_power,diagnostic
v0.34_cubic_field_rms,0.3028594438300792,ln_power,comparison_PASS-LIKE
delta_vs_v0.34_rms,0.0010881272708720413,ln_power,scored_window_delta
spatial_pre_collapse_peak_wavelength,617.866338867254,Mpc,diagnostic
spatial_pre_collapse_peak_harmonic_n,1.0,harmonic,diagnostic
spatial_post_collapse_peak_wavelength,154.4665847168135,Mpc,WEAK
spatial_post_collapse_peak_harmonic_n,4.0,harmonic,diagnostic
v0.35_transfer_mapped_617Mpc,0.00536250653351199,power_multiplier,spatial_lattice_transfer
v0.35_transfer_mapped_BAO_bin,0.9406203109935627,power_multiplier,spatial_lattice_transfer
v0.35_mapped_global_peak,152.29376055593826,Mpc,PASS-LIKE
v0.35_mapped_BAO_window_peak,152.29376055593826,Mpc,PASS-LIKE
shell_n1_transfer,0.00536250653351199,power_multiplier,super_anchor_suppressed
shell_n4_transfer,0.9406203109935627,power_multiplier,cube_connector_resonance_retained
final_B_mean,0.5439474725085649,reservoir_proxy,diagnostic
final_B_max,0.5712211449366842,reservoir_proxy,diagnostic
final_negative_S_fraction,1.0,fraction,diagnostic
large_scale_slope_native_0.015_0.05,0.2999021273178326,dlnP_dlnk,diagnostic
small_scale_slope_native_0.08_0.22,-1.3809213181998292,dlnP_dlnk,diagnostic
