metric,value
verdict,PASS_STABILIZED
criteria_pass_count,15
criteria_total,15
entanglement_score,0.292811
entanglement_threshold,0.280000
phase_lock,0.533301
frequency_lock,0.778801
amplitude_match,0.921610
rhythm_lock,0.382777
merged_mass,2.000000
merged_radius,7.559526
coherence_capacity,0.526780
E_raw_vib_seed_v42,1.139518
E_core_seed_after_lock,0.414315
E_beat_seed,0.703281
core_pressure_0,0.786615
max_explosion_pressure,0.786615
final_energy_over_peak,0.428634
weighted_shell_radius,9.832114
weighted_shell_width,1.894045
weighted_sphericity,0.840701
weighted_anisotropy,0.159299
core_fraction,0.388466
inner_fraction,0.502743
outer_fraction,0.108791
channel_l1_distance_to_rough_targets,0.048449
channel_log10_rms_to_rough_targets,0.352748
