metric,value
verdict,FLOP_DENSITY_DETONATION
criteria_pass_count,12
criteria_total,16
lambda_R,0.820000
R_volume,7.559526
R_dense,6.198812
rho_ratio,1.813671
density_gain_D_rho,1.546828
M_sum,2.000000
M_dense,3.093656
coherence_capacity,0.770210
E_raw_v44,1.140500
E_raw_dense,1.764157
rhythm_lock,0.892989
E_core_seed_after_density_lock,1.496605
E_beat_seed,0.188784
density_pressure,0.300755
explosion_pressure_0,2.333597
max_explode_index,2.753645
final_energy_over_peak,0.231836
weighted_shell_radius,9.801101
weighted_shell_width,3.410000
weighted_sphericity,0.706000
weighted_anisotropy,0.294000
core_fraction,0.589456
inner_fraction,0.151096
outer_fraction,0.259448
channel_l1_distance_to_rough_targets,0.635930
channel_log10_rms_to_rough_targets,0.877587
