metric,value
verdict,PARTIAL_ROTATION_RELIEF
criteria_pass_count,16
criteria_total,17
R_dense,6.198812
rho_ratio,1.813671
M_dense,3.093656
coherence_capacity,0.770210
E_core_seed_before_rotation,1.496605
E_beat_seed_discarded_vibration,0.188784
torque_fraction_from_discarded_vibration,0.698456
L_discarded_vibration,3.423467
E_rotation_from_discarded_vibration,0.131844
omega_final,0.072027
rotational_bleed_fraction,0.572734
E_core_after_rotation,0.639429
density_pressure_after_rotation,0.183042
core_pressure_after_rotation,1.066881
final_energy_over_peak,0.318000
weighted_shell_radius,9.386959
weighted_shell_width,2.180000
weighted_sphericity,0.792000
weighted_anisotropy,0.208000
channel_l1_distance_to_rough_targets,0.066982
