metric,value
verdict,PASS_AERO_STABILIZED
criteria_pass_count,19
criteria_total,19
R_dense,6.198812
rho_ratio,1.813671
M_dense,3.093656
coherence_capacity_before_aero,0.770210
coherence_capacity_aero,0.854501
shell_detach_ratio_v46,0.514316
drill_index,0.676114
sink_intake_index,0.928600
streamline_index,0.655629
wake_index,0.348632
drag_bleed_fraction,0.186949
lift_bleed_fraction,0.104540
wake_penalty,0.006275
coherence_lift_gain,0.084291
available_flow_energy,0.320628
aero_bleed_energy,0.059941
angular_shell_bleed,0.033518
total_aero_bleed,0.093460
E_core_after_rotation,0.639429
E_core_after_aero,0.545969
density_pressure_after_rotation,0.183042
density_pressure_after_aero,0.162344
core_pressure_after_aero,0.828920
weighted_shell_radius_aero,10.214000
weighted_shell_width_aero,2.640000
weighted_sphericity_aero,0.822000
weighted_anisotropy_aero,0.178000
final_energy_over_peak_aero,0.246000
channel_l1_distance_to_rough_targets,0.030508
