metric,value
verdict,PASS_VISIBLE_DARK_SPLIT
criteria_pass_count,15
criteria_total,15
R_dense,6.198812
rho_ratio,1.813671
M_dense,3.093656
coherence_capacity_aero,0.854501
face_visibility,0.505352
vortex_capture_visibility,0.768638
visible_capture_gate,0.388433
density_shadow,0.448632
hidden_core_retention,0.702703
rotation_capture,0.403382
sink_gate,0.906765
dark_capture_gate,0.479231
E_event,0.933617
E_dark_sink,0.102906
dark_pressure_load,0.016465
E_visible_pool,0.605407
E_rotation_bound,0.131844
E_radiation_thermal,0.050657
E_bound_core_visible,0.443063
core_pressure_after_dark_split,0.727761
budget_fraction_visible_face_vortex,0.648453
budget_fraction_dark_sink_hidden,0.110223
budget_fraction_rotation_bound,0.141219
budget_fraction_radiation_thermal,0.054259
budget_fraction_aero_shell_bleed_nonthermal,0.045846
