metric,value
verdict,PASS_CORE_LOAD_FEEDBACK
criteria_pass_count,18
criteria_total,18
E_visible_pool,0.605407
E_hidden_sink,0.102906
E_rotation_bound,0.131844
C_sink,1.704656
xi_rot,0.710507
G_visible,0.605407
G_hidden,0.175419
G_rot,0.093676
G_load,0.874502
load_strength_vs_visible,1.444487
hidden_fraction_of_load,0.200593
rotation_fraction_of_load,0.107119
capacity_before_feedback,0.854501
confinement_gain,0.056153
pressure_penalty,0.031468
capacity_after_feedback,0.910654
core_load_before_feedback,0.621873
core_load_after_feedback,0.653340
core_pressure_before_feedback,0.727761
core_pressure_after_feedback,0.717440
shell_radius_after_feedback,9.941601
outer_hidden_radius,10.582795
sphericity_after_feedback,0.828454
anisotropy_after_feedback,0.173426
channel_l1_distance_to_rough_targets,0.028613
