metric,value
verdict,PASS_DARK_GRAVITY_FEEDBACK
criteria_pass_count,16
criteria_total,16
E_visible_pool,0.605407
E_dark_sink,0.102906
E_rotation_bound,0.131844
C_sink,1.429526
C_rotation,1.060507
G_visible,0.605407
G_dark_compact,0.147107
G_rotation,0.139822
G_total_rotating_core,0.892335
G_gain_over_visible_only,1.473943
compact_gravity_load,0.224009
gravity_pressure_add,0.035841
coherence_capacity_before_dark_gravity,0.854501
coherence_capacity_after_dark_gravity,0.952829
core_pressure_before_dark_gravity,0.727761
core_pressure_after_dark_gravity,0.780994
shell_radius_before_dark_gravity,10.214000
shell_radius_after_dark_gravity,10.016943
spin_precession_index,0.118071
visible_channel_l1_error,0.029191
visible_channel_log10_rms,0.395425
