metric,value
verdict,PASS_DARK_GRAVITY_FEEDBACK
criteria_pass_count,17
criteria_total,17
E_visible_pool_v048,0.605407
E_hidden_sink_v048,0.102906
E_rotation_bound_v048,0.131844
C_sink,1.659793
C_rot,0.820000
G_visible_only,0.605407
G_visible_plus_hidden,0.776210
G_total_visible_hidden_rotation,0.884322
gravity_gain_visible_plus_hidden,1.282129
gravity_gain_total,1.460706
dark_gravity_fraction,0.193145
R_dense_before_dark_gravity,6.198812
R_core_after_dark_gravity,6.088726
radius_tightening_fraction,0.017759
M_dense,3.093656
M_inertial_eff,3.250823
I_before_dark_gravity,47.549827
I_after_dark_gravity,48.206567
omega_before_dark_gravity,0.072027
omega_after_dark_gravity,0.071017
omega_change_fraction,-0.014028
coherence_capacity_before_dark_gravity,0.854501
coherence_capacity_after_dark_gravity,0.882377
core_pressure_before_dark_gravity,0.727761
dark_gravity_pressure_addition,0.025192
dark_coherence_gain,0.027876
core_pressure_after_dark_gravity,0.733320
channel_l1_distance_to_rough_targets,0.029024
