channel,BR_SM_ref,Gamma_SM_MeV,kappa,Gamma_fit_MeV,BR_fit,BR_delta_abs,BR_delta_pct
bb,0.582384276,2.370304,1,2.370304,0.582384276,0,0
WW,0.21369423,0.869735517,1,0.869735517,0.21369423,0,0
gg,0.0817977915,0.332917011,1,0.332917011,0.0817977915,0,0
tau,0.0626983071,0.25518211,1,0.25518211,0.0626983071,0,0
cc,0.028999217,0.118026813,1,0.118026813,0.028999217,0,0
ZZ,0.0263992872,0.107445099,1,0.107445099,0.0263992872,0,0
gamma,0.00226993871,0.00923865056,1,0.00923865056,0.00226993871,0,0
Zgamma,0.00153995842,0.00626763077,1,0.00626763077,0.00153995842,0,0
mumu,0.000216994141,0.000883166155,1,0.000883166155,0.000216994141,0,0
other,0,0,1,0,0,0,
