metric,value
verdict,PASS_TIME_DILATION_BRIDGE_WITH_COMPENSATION
fit_type,time_dilation_bridge_not_first_principle_GR
G_load,0.874502
outer_hidden_radius,10.582795
R_dense,6.198812
omega_final,0.072027
v_core,0.446481831924
beta_G_time,0.35
compactness_chi_time,0.057844019467446925
gravity_clock_factor,0.9706471967365656
rotation_clock_factor,0.8947926987642384
tau_core_to_lab,0.8685280247158542
time_slowdown_pct,13.147197528414578
Gamma_SM_total_MeV,4.07
Gamma_lab_uncompensated_MeV,3.534909060593527
Gamma_lab_uncompensated_delta_pct,-13.147197528414578
universal_kappa_proper_needed,1.0730206546831975
proper_width_scale_needed,1.1513733253767577
Gamma_lab_compensated_MeV,4.07
max_abs_BR_delta_pct_compensated,0.0
max_abs_signal_strength_delta_pct_compensated,0.0
