metric,value
verdict,PASS_CHANNEL_CLOCK_ROTATION_BRIDGE
fit_type,channel_specific_time_dilation_bridge_not_full_GR
tau_core_to_lab,0.8685280247158542
omega_proper,0.072027
omega_lab,0.06255798675580184
rotation_speed_shift_pct,13.147197528414578
Gamma_SM_total_MeV,4.07
Gamma_lab_uncompensated_common_MeV,3.534909060593527
Gamma_lab_channel_clock_MeV,3.9651840985673865
Gamma_lab_channel_clock_delta_pct,-2.575329273529813
proper_width_scale_needed,1.0264340567366048
universal_kappa_time_needed,1.0131308191623651
Gamma_lab_after_compensation_MeV,4.07
max_abs_BR_delta_pct_after_channel_clock,3.3138843239836877
max_abs_signal_strength_delta_pct_after_channel_clock,5.205440664719196
branching_ratios_changed,True
common_clock_only_changes_BR,False
