metric,value
verdict,PASS_SOUND_SPREAD_BRIDGE
fit_type,acoustic_spread_bridge_not_real_sound_in_air
c_sound_proxy,0.582034
omega_sound_proxy,0.058545
omega_lab,0.062558
acoustic_resonance,0.962377
v_core_lab,0.387785
acoustic_mach,0.666259
discarded_fraction,0.202207
pressure_wave_amplitude,0.207941
surface_ripple_index,0.333447
radial_spread_factor,1.094666
shell_radius_before_sound,9.941601
shell_radius_after_sound,10.882735
shell_width_before_sound,2.64
shell_width_after_sound,3.088810
Gamma_SM_total_MeV,4.07
Gamma_lab_sound_raw_MeV,3.964892
Gamma_lab_sound_raw_delta_pct,-2.582509
proper_width_scale_needed,1.026510
universal_kappa_time_needed,1.013168
Gamma_lab_sound_comp_MeV,4.07
max_abs_BR_delta_pct_after_sound,4.913465
max_abs_signal_strength_delta_pct_after_sound,7.790001
branching_ratios_changed_by_sound,True
criteria_pass_count,11
criteria_total,11
