metric,value
verdict,PASS_COSMOLOGY_COARSE_GRAIN_SCAFFOLD
criteria_pass_count,12
criteria_total,12
raw_gravity_total,1.052074597483
visible_raw_fraction,0.648453
hidden_budget_fraction,0.110223
hidden_compactness_factor,1.704656
hidden_gravity_fraction_normalized,0.17859218228205162
rotation_gravity_fraction_normalized,0.0953706973564879
acoustic_shell_fraction_normalized,0.058107297056935
radiation_fraction_normalized,0.05157333912425041
visible_gravity_fraction_normalized,0.6163564841802751
c_sound_proxy,0.582034
w_sound_proxy,0.3387635771560001
omega_lab,0.062558
omega_sound_proxy,0.058545
acoustic_resonance,0.962377
radial_spread_factor,1.094666
tau_rot,0.894793
chi0_time_compactness,0.057844019467446925
lapse_N_at_a1,0.8699849913099689
H_lab_over_H_core_at_a1,1.1494451168568582
sound_horizon_proxy_at_a1,0.3941421142829588
inverse_sound_scale_proxy,2.5371559236171586
mu_eff_k_0p01,1.1474011856008968
mu_eff_k_0p1,1.1470255395328046
mu_eff_k_1,1.1181373066147073
mu_eff_k_10,0.9832836102913577
