metric,value
verdict,PASS_Q_TRANSFER_BACKGROUND_BRIDGE
criteria_pass_count,12
criteria_total,12
Omega_visible_today,0.24423249035790123
Omega_hidden_today,0.07076750964209877
Omega_m_like_today,0.315
Omega_rotation_today,0.0015
Omega_acoustic_today,0.0035
Omega_radiation_today,9e-05
Omega_smooth_lapse_reservoir_today,0.67991
H0_reference,67.4
Omega_m_reference,0.315
H075_model,104.76640883418504
H075_observed,105.0
H075_sigma,10.756393447619885
H075_residual_sigma,-0.02171649512008551
raw_H075_delta_pct,61.48341306225995
transfer_H075_delta_pct,0.9008222103895316
DESI_dynamic_dark_energy_fitted,False
