metric,value
verdict,PASS_FIRST_PRINCIPLE_CLOSURE_SCAFFOLD
criteria_pass_count,14
criteria_total,14
field_tuple_extended,True
visible_hidden_from_projection,True
rotation_from_discarded_vibration,True
clock_from_load_and_rotation,True
sound_from_coherence_density_load,True
Q_transfer_form_conservative,True
kappa_width_defined_as_projection,True
cosmology_sectors_projected,True
Omega_m_like_from_visible_plus_hidden,0.315
component_sum_after_transfer,1.0
omega_lab_direct_from_tau,0.06255798675580184
omega_lab_reference,0.06255798675580184
omega_lab_abs_delta,0.0
c_sound_proxy,0.582034
c_sound_squared,0.3387635771560001
sound_horizon_proxy_at_a1,0.3941421142829588
mu_eff_k_0p1,1.2140067620790667
raw_H075_delta_pct,61.48341306225995
transfer_H075_delta_pct,0.9008222103895316
