metric,value
verdict,PASS_EXECUTABLE_UNIFIED_FIELD_SCAFFOLD
grid_n,34
cells,39304
mean_chi,0.2626834008201606
mean_Omega,0.38143037129721546
mean_E,1.1117382480906433
mean_R_lock,0.964145625117811
mean_rho_ratio,1.4185174910977116
mean_omega_proper,0.07963120370962477
mean_lapse_N,0.8301362811407171
mean_omega_lab,0.06844404435453484
mean_c_sound,0.719970582579483
mean_A_sound,0.1157455343359014
mean_S,1.3568700625286785
collapse_fraction,0.1039079991858335
branch_visible_raw_fraction,0.5425994730223833
branch_hidden_raw_fraction,0.4466009416903723
branch_rotation_raw_fraction,0.001410061756313143
branch_sound_raw_fraction,0.009268661094106002
branch_radiation_raw_fraction,0.00012086243682521869
Omega_visible_today,0.17278483860288535
Omega_hidden_today,0.14221516139711463
Omega_m_like_today,0.31499999999999995
Omega_rotation_today,0.000027064835998834578
Omega_acoustic_today,0.00033640037572088793
Omega_radiation_today,0.00000018245286579379906
Omega_smooth_lapse_reservoir_today,0.6846363523354145
H075_model,103.89770873388932
H075_reference,103.83107544528758
H075_delta_pct,0.06417470715387834
mu_eff_k_0p01,1.3617208738147963
mu_eff_k_0p1,1.3615442596400258
mu_eff_k_1,1.3449395145876757
mu_eff_k_10,1.05328592717621
