metric,value
verdict_short,REALDATA_RETEST_FAILS_RAW_BUT_IDENTIFIES_NEXT_IMPLEMENTATION_TARGETS
cosmology_verdict,COSMOLOGY_RAW_FAIL_TRANSFER_PASS_SCAFFOLD
cern_verdict,CERN_RAW_FAIL_BRIDGE_COMPATIBLE_NOT_PREDICTIVE
inverse_timeflow_backprop_loss,NOT_IMPLEMENTED
planck_omega_b_h2,0.02237
planck_omega_c_h2,0.1200
planck_baryon_cdm_ratio,0.18641666666666667
visible_dark_2B,0.195224
visible_dark_2B_fractional_error_vs_planck_ratio,0.0472454179704962
visible_dark_5B,0.153635
visible_dark_5B_fractional_error_vs_planck_ratio,0.17585158694680383
bao_reference_rd_Mpc,147.09
v0_20_final_bao_peak_Mpc,152.29
v0_20_final_bao_peak_fractional_error,0.035352505268882915
v0_25_native_global_peak_Mpc,617.87
v0_25_native_global_peak_fractional_error,3.200625467400911
v0_25_native_bao_window_peak_Mpc,128.15
v0_25_native_bao_window_peak_fractional_error,0.12876470188320074
v0_58_H075_raw_3d,156.66381928473376
v0_58_H075_raw_delta_pct_vs_reference,50.88336378378908
v0_58_H075_transfer_3d,103.8977087338893
v0_58_H075_transfer_delta_pct_vs_reference,0.06417470715386465
v0_58_H075_transfer_residual_sigma_vs_CC_obs,-0.10247777486743069
v0_58_BR_L1_raw_vs_SM,0.09242825675082147
v0_58_max_abs_BR_delta_pct_raw_vs_SM,100.0
v0_58_failed_CERN_channels_10pct,"gg,tau,cc,gamma,Zgamma,mumu"
v0_52_Gamma_lab_channel_clock_MeV,3.9651840985673865
v0_52_width_delta_fraction_vs_4p07,0.025753292735285937
v0_52_max_abs_BR_delta_pct_after_channel_clock,3.3138843239836877
v0_52_max_abs_signal_strength_delta_pct_after_channel_clock,5.205440664719196
v0_53_Gamma_lab_sound_raw_MeV,3.964892
v0_53_width_delta_fraction_vs_4p07,0.025825061425061527
v0_53_max_abs_BR_delta_pct_after_sound,4.913465
v0_53_max_abs_signal_strength_delta_pct_after_sound,7.790001
raw_3d_cern_passes_10pct_all_channels,False
raw_3d_cosmology_passes,False
transfer_3d_cosmology_passes_as_scaffold,True
claimed_as_cern_or_cosmology_proof,False
