metric,value
verdict,IMPLEMENTED_BACKPROP_IMPROVES_CERN_BRIDGE_RAW_STILL_SCAFFOLD
v0_59_inverse_timeflow_backprop_loss,NOT_IMPLEMENTED
v0_60_inverse_timeflow_backprop_loss,IMPLEMENTED
v0_60_gamma_Zgamma_loop_surface_readout,IMPLEMENTED
v0_60_cc_projection,IMPLEMENTED
v0_59_raw_BR_L1_vs_SM,0.0924282567508215
v0_60_implemented_BR_L1_vs_SM,0.0376967410764003
v0_60_after_backprop_BR_L1_vs_SM,0.000937748899833065
v0_59_raw_max_abs_BR_delta_pct,100
v0_60_implemented_max_abs_BR_delta_pct,10.5027329302548
v0_60_after_backprop_max_abs_BR_delta_pct,0.294487419534373
v0_59_failed_CERN_channels_10pct,"gg,tau,cc,gamma,Zgamma,mumu"
v0_60_implemented_failed_CERN_channels_10pct,gg
v0_60_after_backprop_failed_CERN_channels_10pct,
v0_60_after_backprop_total_width_MeV,4.07198200128117
v0_60_after_backprop_total_width_delta_pct,0.0486978201761801
v0_60_tau_time_lab_factor,0.975950917644951
v0_60_inverse_timeflow_loss_final,0.00107251848652352
v0_59_H075_raw_3d,156.663819284734
v0_59_H075_transfer_3d,103.897708733889
v0_60_q_smoothing_derived_from_v0_59_transfer,6.67568214442792
v0_60_H075_after_timeflow,103.897708733889
v0_60_H075_after_timeflow_delta_pct_vs_reference,0.0641747071538745
raw_result_claimed_as_prediction,False
trained_bridge_claimed_as_prediction,False
