metric,value
verdict,FIRST_PRINCIPLE_ITF_IMPROVES_RAW_HZ_NOT_FULL_COSMOLOGY_PASS
formula,H_lab = exp[-C_ITF/(N_visible+N_anchor)] * H_core
C_ITF,0.689064
tau_ITF,0.708551878163951
N_dark,6
N_visible,1
N_anchor,1
A_lock_5B,0.918752
H0_anchor,67.4
Omega_m_reference,0.315
H075_reference_LCDM,103.831075445288
H075_CC_observed,105
H075_CC_sigma,10.7563934476199
v0_59_H075_raw_3d,156.663819284734
v0_59_H075_raw_delta_pct_vs_LCDM,50.8833637837891
v0_59_H075_raw_sigma_vs_CC,4.80308009709013
v0_60_H075_transfer_scaffold,103.897708733889
v0_60_H075_transfer_delta_pct_vs_LCDM,0.0641747071538647
v0_60_H075_transfer_sigma_vs_CC,-0.102477774867431
v0_61_H075_first_principle_ITF,111.004443394536
v0_61_H075_first_principle_ITF_delta_pct_vs_LCDM,6.90869079269838
v0_61_H075_first_principle_ITF_sigma_vs_CC,0.558220878008559
raw_to_v061_delta_pct_improvement_factor,7.36439183570548
v0_20_BAO_peak_Mpc,152.29
DESI_rd_reference_Mpc,147.09
v0_20_BAO_peak_fractional_error,0.0353525052688829
uses_reference_derived_smoothing,False
full_BAO_ladder_implemented,False
CMB_power_spectrum_implemented,False
BBN_network_implemented,False
