metric,value
version,v0.64
status,REWORKED_FIRST_PRINCIPLE_FORMULA_DOCUMENTED_ON_MASTER
C_ITF,0.689064
O_DV,0.612372435695795
E_DV,1.23489000336875
v061_H075_first_principle_ITF,111.004443394536
v061_H075_delta_pct_vs_LCDM,6.90869079269838
v062_blind_max_channel_delta_pct,8.24764893442693
v062_width_MeV,3.32598142936141
v062_width_delta_pct,-18.2805545611448
v063_width_MeV,4.10722121850852
v063_width_delta_pct,0.914526253280523
backprop_used_for_v062_or_v063,False
next_formula,cell_resolved_C_ITF_and_O_DV
