metric,value
version,v0.71
result,EXPANDED_COSMOLOGY_MIXED_CLOSE_ON_EARLY_AND_LENSING_FAILS_LOCAL_H0
backprop_used,False
target_loss_used,False
lambda_H_scale,0.996483823352929
E_DV_one_third,1.07254986995616
H0_prediction,67.1630096939874
H0_residual_sigma_Planck,-0.364796862986
H0_residual_sigma_SH0ES,-5.650952217320
H075_prediction,103.465987042567
H075_delta_pct_vs_compact_LCDM,-0.351617664707
H075_residual_sigma_CC,-0.142614061572
DESI_LyA_DH_rd_prediction,8.646895186319
DESI_LyA_DH_rd_residual_sigma,0.146909331566
DESI_LyA_DM_rd_prediction,39.311695268734
DESI_LyA_DM_rd_residual_sigma,0.602801995290
omega_b_h2_prediction,0.02237
omega_b_h2_residual_sigma_BBN2024,0.345454545455
S8_prediction,0.775721505643
S8_residual_sigma_DESY3,0.206750313521
S8_residual_sigma_Planck,-4.329114950510
BAO_peak_fractional_error,0.035352505269
full_CMB_Cl_implemented,False
full_SN_distance_modulus_implemented,False
full_BAO_covariance_implemented,False
BBN_network_implemented,False
