metric,value
version,v0.73
result,CELL_ACTION_SPATIAL_LAPSE_REPRODUCES_DISTANCE_CLOSES_BUT_FULL_COSMOLOGY_STILL_MIXED
backprop_used,False
target_loss_used,False
formula_level,minimal_one_zone_cell_action
C_ITF,0.689064
O_DV,0.612372435695795
K_X,6
phi_X,0.070040088684
sigma_X_cell_derived,1.07254986995616
H0_prediction,67.163009693987
H0_residual_sigma_Planck,-0.364796862986
H0_residual_sigma_SH0ES,-5.650952217320
PantheonPlus_H0_residual_sigma,-5.760900278193
PantheonPlus_OmegaM_residual_sigma,-1.038888888889
H075_prediction,103.465987042567
H075_delta_pct_vs_LCDM,-0.351617664707
H075_residual_sigma_CC,-0.142614061572
DESI_LyA_DH_rd_prediction,8.646895186319
DESI_LyA_DH_rd_residual_sigma,0.146909331566
DESI_LyA_DM_rd_prediction,39.311695268734
DESI_LyA_DM_rd_residual_sigma,0.602801995290
omega_b_h2_prediction,0.02237
omega_b_h2_residual_sigma_BBN2024,0.345454545455
S8_prediction,0.775721505643
S8_residual_sigma_DESY3,0.206750313521
S8_residual_sigma_Planck,-4.329114950510
BAO_peak_raw_fractional_error,0.035352505269
full_CMB_Cl_implemented,False
full_SN_distance_modulus_implemented,False
full_BAO_covariance_implemented,False
BBN_network_implemented,False
