metric,value
version,v0.80
result,WEAK_FIELD_GR_BRIDGE_PASSES_CLASSIC_LIMITS_FULL_GR_NOT_DERIVED
backprop_used,False
target_loss_used,False
formula_level,isotropic_weak_field_metric_bridge
metric_form,ds2=-exp(-2psi)c2dt2+exp(2psi)delta_ij_dxi_dxj
weak_field_g00,-(1-2psi)
weak_field_gij,(1+2psi)delta_ij
psi_identification,psi=GM/(c2r)=-Phi/c2
PPN_gamma_prediction,1.0
Newtonian_limit_recovered,True
gravitational_redshift_coefficient,1.0
solar_limb_light_bending_arcsec,1.751243281368
solar_limb_light_bending_target_arcsec,1.751243281368
solar_limb_light_bending_residual_arcsec,0.0
Mercury_precession_arcsec_per_century,42.981975497467
Mercury_precession_target_arcsec_per_century,42.981975497467
Mercury_precession_residual_arcsec_per_century,0.0
Shapiro_delay_gamma_coefficient,2.0
Shapiro_delay_target_coefficient,2.0
frame_dragging_implemented,False
gravity_waves_implemented,False
full_Einstein_field_equations_derived,False
anisotropic_metric_tensor_implemented,False
cosmological_Friedmann_equation_derived_from_action,False
