metric,value
version,v0.81
result,TENSOR_STRAIN_EXTENSION_PRESERVES_WEAK_FIELD_LIMIT_ADDS_SHIFT_AND_TT_MODES_FULL_GR_STILL_NOT_DERIVED
backprop_used,False
target_loss_used,False
formula_level,linearized_tensor_strain_bridge
metric_form,g_mu_nu=eta_mu_nu+h_mu_nu
h00,-2psi
hij,2psi_delta_ij+hTT_ij
h0i,shift_beta_i
PPN_gamma_prediction,1.0
weak_field_v080_preserved,True
solar_limb_light_bending_arcsec,1.751243281368
Mercury_precession_arcsec_century,42.981975497467
Shapiro_delay_gamma_coefficient,2.0
shift_modes_implemented,True
frame_dragging_coefficient_normalized,1.0
h0i_nonzero_allowed,True
TT_modes_implemented,True
GW_polarization_count,2
GW_speed_over_c,1.0
TT_transverse_residual,0.0
TT_trace_residual,0.0
linearized_gauge_constraints_declared,True
full_nonlinear_EFE_derived,False
contracted_Bianchi_identity_derived,False
source_conservation_derived,False
observational_frame_dragging_fit,False
observational_GW_waveform_fit,False
