metric,value
version,v0.83
result,LATTICE_COMBINED_SOURCE_CONSERVATION_PASSES_TOY_LOCAL_AND_GLOBAL_CHECKS_FULL_GR_STILL_NOT_DERIVED
backprop_used,False
target_loss_used,False
source_model,visible_plus_hidden_information_on_periodic_lattice
lattice_dimension,1
cell_count,8
boundary,periodic
visible_only_local_residual_Linf,0.022500000000
visible_only_global_residual_sum,0.000000000000
hidden_information_local_residual_Linf,0.022500000000
combined_local_residual_Linf,0.000000000000
combined_global_residual_sum,0.000000000000
combined_residual_L1,0.000000000000
cellwise_exchange_balance_residual_Linf,0.000000000000
visible_only_conserved_locally,False
visible_only_conserved_globally,True
combined_source_conserved_locally,True
combined_source_conserved_globally,True
v082_compact_result_reproduced,True
v081_tensor_bridge_preserved,True
full_nonlinear_gr_derived,False
covariant_conservation_derived,False
observational_test_performed,False
