metric,value
version,v0.85
result,PRECOLLISION_ENTANGLEMENT_LIFETIME_PREDICTOR_BUILT_CERN_TOP_PAIR_CROSSCHECK_PASSLIKE_NOT_VALIDATED
source_model,precollision_sphere_pair_entanglement_predictor
benchmark,ttbar_threshold_spin_entanglement
mass_window_GeV,340_to_380
geometry_overlap,0.97
phase_match,0.93
spin_match,0.95
texture_match,0.90
containment_factor,0.88
hidden_support,0.85
E_seed,0.578976399000
entangle_threshold,0.333333333333
entangle_prediction,True
D_proxy_predicted,-0.578976399000
D_ATLAS_reference,-0.537000000000
D_CMS_reference,-0.480000000000
abs_delta_ATLAS,0.041976399000
abs_delta_CMS,0.098976399000
semi_stable_prediction,True
tau_entangle_predicted_s,3.600000e-25
tau_top_reference_low_s,3.290000e-25
tau_top_reference_high_s,5.000000e-25
lifetime_in_top_range,True
postfit_used,False
observational_validation_status,crosscheck_passlike_not_validation
