metric,value
version,v0.86
result,STABLE_FINAL_STATE_FEMTOSCOPY_TREND_CROSSCHECK_PASSLIKE_NOT_EVENT_VALIDATED
source_model,precollision_sphere_predictor_to_stable_final_state_coherence
benchmark,ALICE_two_pion_femtoscopy_pp_and_pPb_trends
postfit_used,False
pred_mult_radius_trend,positive
alice_mult_radius_trend,positive
mult_trend_match,True
pred_kT_radius_trend,negative
alice_kT_radius_trend,negative
kT_trend_match,True
pred_same_mult_energy_similarity,True
alice_same_mult_energy_similarity,True
energy_similarity_match,True
pred_pPb_over_pp_factor,1.15
alice_pPb_over_pp_range,1.10_to_1.20
pPb_factor_in_range,True
pred_lambda_eff,0.58
pred_partial_coherence,True
trend_score,4_of_4
stable_final_state_crosscheck,passlike
stable_entanglement_claimed,False
full_event_validation,False
