shell,rho,deformation,lc_resid_norm,lc_resid_abs,null_resid_norm
1,0.950000000000,0.050000000000,0.050000000000,0.050000000000,0.097500000000
2,0.980000000000,0.020000000000,0.020000000000,0.040000000000,0.039600000000
3,0.990000000000,0.010000000000,0.010000000000,0.030000000000,0.019900000000
4,0.994117647059,0.005882352941,0.005882352941,0.023529411765,0.011730103806
5,0.996153846154,0.003846153846,0.003846153846,0.019230769231,0.007677514793
6,0.997297297297,0.002702702703,0.002702702703,0.016216216216,0.005398100804
7,0.998000000000,0.002000000000,0.002000000000,0.014000000000,0.003996000000
8,0.998461538462,0.001538461538,0.001538461538,0.012307692308,0.003074556213
9,0.998780487805,0.001219512195,0.001219512195,0.010975609756,0.002437537180
10,0.999009900990,0.000990099010,0.000990099010,0.009900990099,0.001979217724
