metric,value,label
version,v0.97,derived
M0,2.000000000000,derived_from_mode4_seed
epsilon_3,0.125000000000,assumed_from_symbol_strength
psi_3,0.000000000000,assumed_phase_origin
mean_A3,1.000000000000,derived_normalized
A3_min,0.875042834378,derived
A3_max,1.124957165622,derived
A3_std,0.064549317306,derived
mean_rho,0.990182071777,derived
mean_D3,0.009817928223,derived
mean_shear_proxy,0.063915576742,derived
max_shear_proxy,0.064485407091,derived
mean_threefold_amp,0.247460690278,derived
max_threefold_amp,0.249666891312,derived
mean_abs_lc_resid,0.054439708131,derived
mean_null_resid,0.015243226439,derived
H_proxy_relative,0.977215138494,derived
loop_sum_beta3_1,0.341737250747,derived
beta4_needed_for_balance,0.170868625373,derived_calibration_needed
global_radius_min,0.831290692659,derived
global_radius_max,1.123843346646,derived
global_anisotropy,0.351925814364,derived
cosmology_scored,False,not_tested
cern_scored,False,not_tested
