shell,rho,mean_radius_scale,mean_D3,shear_proxy,mean_abs_lc,mean_null,threefold_amp
1,0.950000000000,0.950000000000,0.050000000000,0.061321851440,0.065326000000,0.093740000000,0.237418114182
2,0.980000000000,0.980000000000,0.020000000000,0.063258330959,0.054794000000,0.035598000000,0.244916244019
3,0.990000000000,0.990000000000,0.010000000000,0.063903823133,0.053303000000,0.015816000000,0.247415620032
4,0.994117647059,0.994117647059,0.005882352941,0.064169321672,0.053036000000,0.007612000000,0.248444775154
5,0.996153846154,0.996153846154,0.003846153846,0.064300858237,0.052979000000,0.003543000000,0.248953878974
6,0.997297297297,0.997297297297,0.002702702703,0.064374660267,0.052971000000,0.001254000000,0.249239999673
7,0.998000000000,0.998000000000,0.002000000000,0.064420218871,0.052981000000,-0.000154000000,0.249415444792
8,0.998461538462,0.998461538462,0.001538461538,0.064450856903,0.052993000000,-0.001079000000,0.249530715685
9,0.998780487805,0.998780487805,0.001219512195,0.064471442578,0.053003000000,-0.001719000000,0.249610439454
10,0.999009900990,0.999009900990,0.000990099010,0.064485407091,0.053012000000,-0.002179000000,0.249666891312
