coupling,R_over_L,best_energy,best_apex_score,best_face_score,classification,same_minimum_basin_count,random_starts
face_vortex_centroids,1.5,-0.6675684022062649,0.33391394317375395,0.9999992602744561,FACE_INWARD,128,128
face_vortex_centroids,2.0,-0.5002881848994324,0.3336146248260417,0.9999998256119028,FACE_INWARD,128,128
face_vortex_centroids,3.0,-0.3333907450081237,0.3334293146132121,0.9999999801546685,FACE_INWARD,128,128
face_vortex_centroids,5.0,-0.20000748842702565,0.33337521740452314,0.9999999988746975,FACE_INWARD,128,128
face_vortex_centroids,10.0,-0.1000004702624649,0.33334879879541485,0.9999999998590722,FACE_INWARD,114,128
vertex_lumped_control,1.5,-0.6800304519105747,0.998152591380816,0.36135862149705267,APEX_INWARD,128,128
vertex_lumped_control,2.0,-0.5065424769453959,0.9999664754955008,0.33718217954176855,APEX_INWARD,127,128
vertex_lumped_control,3.0,-0.3348072483928556,0.9999950806224898,0.3348263064649491,APEX_INWARD,94,128
vertex_lumped_control,5.0,-0.20019805418282066,0.9999995603070926,0.3337796532419675,APEX_INWARD,128,128
vertex_lumped_control,10.0,-0.10001257627815441,0.9999999888233201,0.3334139410583791,APEX_INWARD,128,128
